depth,temp,salinity,nitraite
0.1,21.283,30.64,6.62
4.45,20.053,30.43,6.59
0.1,20.802,29.6,7.14
0.8,22.014,28.89,7.19
0.1,22.223,28.66,7.63
4.89,22.115,28.73,7.975
0.1,22.167,27.91,7.39
1.81,22.189,28.44,17.4
0.1,22.528,27.89,7.54
2.43,20.946,30.37,18.7
0.1,21.656,29.73,7.43
2.47,21.051,29.94,7.75
0.1,21.591,28.38,6.93
6.42,20.381,30.74,8.505
0.1,21.598,29,6.28
2.92,21.346,30.33,6.31
0.1,22.13,30.28,6.21
2.19,21.46,30.29,6.19
0.1,21.688,30.19,6.39
8.14,19.733,30.51,6.51
0.1,21.585,29.42,7.04
5.79,19.884,31.13,7.17
0.1,20.477,30.81,7.21
4.9,21.116,30.89,8.24
0.1,21.241,30.85,5.59
3.2,22.543,30.77,6.4
0.1,22.718,30.76,5.2
6.79,19.738,30.59,5.37
0.1,21.271,28.92,5.31
4.38,20.47,30.76,5.36
0.1,21.475,30.61,5.4
17.47,19.153,31.24,6
0.1,20.353,30.99,4.82
7.39,20.64,30.9,4.71
0.1,21.105,30.77,4.61
7.02,19.311,30.08,4.675
0.1,20.78,27.28,5.04
14.36,19.183,30.8,5.1
0.1,20.44,27.62,5.1
11.47,19.074,30.77,5.17
0.1,20.82,26.74,5.21
8.66,19.584,30.65,5.76
0.1,20.543,28.77,4.95
16.54,18.514,31.03,6.23
0.1,20.551,29.19,4.87
11.3,19.468,31,5.89
0.1,20.62,28.73,5.13
1.1,20.351,28.69,6.41
0.1,20.427,28.54,6.49
2.03,20.685,29.33,9.77
0.1,21.11,28.78,3.87
7.16,18.853,30.28,3.77
0.1,21.241,28.7,4.29
9.09,18.03,30.52,4.25
0.1,20.536,25.12,4.56
11.5,18.754,30.61,4.58
